"Homeworking adverts as a proportion of total adverts, deduplicated, UK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,5/2/19,5/9/19,5/16/19,5/23/19,5/30/19,6/6/19,6/13/19,6/20/19,6/27/19,7/4/19,7/11/19,7/18/19,7/25/19,8/1/19,8/8/19,8/15/19,8/22/19,8/29/19,9/5/19,9/12/19,9/19/19,9/26/19,10/3/19,10/10/19,10/17/19,10/24/19,10/31/19,11/7/19,11/14/19,11/22/19,11/28/19,12/5/19,12/12/19,12/19/19,12/27/19,1/3/20,1/10/20,1/16/20,1/23/20,1/30/20,2/7/20,2/13/20,2/21/20,2/27/20,3/6/20,3/12/20,3/20/20,3/27/20,4/3/20,4/9/20,4/17/20,4/24/20,5/1/20,5/7/20,5/15/20,5/22/20,5/29/20,6/5/20,6/12/20,6/19/20,6/26/20,7/3/20,7/10/20,7/17/20,7/24/20,7/31/20,8/7/20,8/14/20,8/21/20,8/28/20,9/4/20,9/11/20,9/18/20,9/25/20,10/2/20,10/9/20,10/16/20,10/23/20,10/30/20,11/6/20,11/13/20,11/20/20,11/27/20,12/4/20,12/11/20,12/18/20,12/24/20,12/31/20,1/8/21,1/15/21,1/22/21,1/29/21,2/5/21,2/12/21,2/19/21,2/26/21,3/5/21,3/12/21,3/19/21,3/26/21,4/1/21,4/9/21,4/16/21,4/23/21,4/30/21,5/7/21,5/14/21,,,,,,,,,,,,,,,,,,
other / general,1.2%,1.1%,1.2%,1.2%,1.2%,1.3%,1.3%,1.2%,1.5%,1.3%,1.3%,1.3%,1.3%,1.1%,1.2%,1.2%,1.1%,1.1%,1.7%,2.2%,2.5%,3.2%,3.3%,3.2%,3.1%,3.2%,3.6%,3.5%,3.4%,3.2%,2.9%,2.4%,2.8%,3.3%,3.7%,1.2%,1.2%,1.3%,0.9%,1.7%,2.8%,3.1%,2.5%,2.9%,3.2%,4.0%,3.7%,3.7%,3.0%,2.9%,2.8%,1.5%,...,...,...,1.9%,2.6%,1.6%,1.9%,2.1%,2.0%,3.1%,3.1%,3.3%,2.3%,1.7%,3.2%,3.2%,3.3%,3.2%,2.1%,3.6%,4.0%,5.0%,6.5%,5.8%,3.0%,2.9%,3.9%,3.8%,5.5%,6.1%,4.4%,3.7%,4.1%,6.3%,6.1%,6.8%,5.8%,6.3%,5.7%,8.4%,7.9%,8.2%,8.4%,8.6%,6.0%,5.8%,4.6%,5.6%,6.9%,4.7%,6.9%,7.0%,6.6%,6.3%,6.1%,,,,,,,,,,,,,,,,,,
part-time / weekend,0.8%,1.9%,1.9%,1.5%,1.5%,1.7%,1.4%,1.6%,1.5%,1.6%,2.2%,2.1%,2.1%,2.3%,2.1%,2.2%,2.0%,1.9%,3.2%,2.2%,2.0%,2.3%,3.0%,2.2%,3.1%,3.0%,3.0%,2.8%,2.5%,2.2%,1.8%,1.8%,1.9%,2.0%,2.0%,1.9%,1.9%,1.9%,2.3%,2.3%,2.5%,2.3%,2.5%,2.6%,2.7%,2.9%,3.2%,3.9%,3.7%,3.9%,4.6%,5.1%,5.9%,6.5%,6.1%,6.1%,7.3%,7.9%,7.3%,6.8%,5.9%,5.7%,5.3%,6.4%,6.6%,5.5%,8.3%,7.9%,7.8%,7.7%,6.4%,5.6%,5.8%,5.5%,26.0%,25.3%,23.2%,23.1%,22.5%,24.4%,24.0%,25.0%,24.8%,23.0%,26.8%,24.6%,25.3%,28.5%,30.4%,31.9%,31.1%,30.5%,31.8%,31.6%,30.6%,29.7%,29.6%,27.6%,26.5%,24.2%,22.9%,23.3%,22.6%,21.2%,21.1%,21.0%,19.2%,,,,,,,,,,,,,,,,,,
property,2.2%,2.9%,3.0%,3.0%,3.1%,2.9%,2.8%,2.5%,2.5%,2.5%,2.7%,2.5%,2.4%,2.3%,2.2%,2.2%,2.4%,2.1%,2.9%,3.6%,3.4%,3.2%,3.3%,3.2%,4.0%,4.1%,4.4%,4.5%,4.6%,4.7%,4.7%,4.5%,4.4%,4.3%,4.1%,3.7%,3.9%,4.1%,4.4%,4.0%,4.1%,3.9%,4.1%,4.3%,4.1%,4.7%,4.4%,4.9%,5.4%,6.3%,6.3%,6.1%,7.7%,9.3%,9.5%,9.1%,9.1%,8.8%,8.7%,6.9%,6.7%,6.6%,7.2%,6.9%,7.5%,9.0%,10.4%,10.3%,10.6%,10.3%,12.1%,11.6%,11.7%,11.2%,11.5%,11.7%,11.2%,10.8%,10.7%,11.2%,11.8%,12.1%,12.7%,12.5%,13.0%,12.3%,12.3%,12.0%,11.0%,10.8%,12.1%,12.2%,12.1%,12.8%,12.4%,12.1%,11.9%,11.8%,11.0%,10.6%,11.2%,11.6%,11.2%,10.5%,10.9%,11.2%,10.8%,,,,,,,,,,,,,,,,,,
retail / wholesale,0.8%,0.9%,0.9%,0.8%,0.9%,0.9%,0.7%,0.9%,0.9%,1.0%,1.0%,0.8%,0.9%,0.9%,1.0%,0.9%,0.9%,0.7%,0.6%,0.5%,0.5%,0.4%,0.4%,0.4%,0.4%,0.4%,0.4%,0.4%,0.4%,0.4%,0.5%,0.5%,0.5%,0.5%,0.6%,0.4%,0.4%,0.5%,0.5%,0.5%,0.5%,0.4%,0.4%,0.5%,0.7%,0.6%,0.6%,0.7%,0.9%,0.8%,1.1%,1.1%,1.3%,1.1%,1.2%,1.2%,1.2%,1.1%,1.1%,1.4%,1.6%,1.4%,1.0%,1.4%,1.6%,1.3%,1.7%,1.7%,1.5%,1.9%,2.3%,2.0%,2.1%,1.9%,1.9%,3.7%,3.6%,1.8%,1.9%,3.5%,3.8%,2.6%,2.6%,2.3%,2.5%,2.2%,2.2%,2.4%,2.0%,2.2%,3.0%,3.3%,3.8%,4.1%,4.0%,3.9%,4.4%,4.3%,4.3%,4.4%,3.6%,3.1%,2.8%,2.7%,2.8%,2.9%,2.8%,,,,,,,,,,,,,,,,,,
sales,3.7%,3.4%,3.3%,3.5%,3.7%,3.8%,4.0%,4.1%,4.2%,4.1%,3.9%,3.8%,4.0%,4.1%,4.1%,4.0%,4.0%,4.0%,3.9%,3.9%,4.1%,4.1%,4.3%,4.3%,4.4%,4.3%,4.3%,4.4%,4.4%,4.5%,4.5%,4.6%,4.6%,4.6%,4.7%,4.5%,4.5%,4.4%,4.4%,4.7%,4.8%,4.8%,4.8%,4.8%,4.8%,4.8%,5.1%,5.2%,5.7%,6.0%,6.3%,7.6%,8.7%,8.7%,8.8%,9.3%,8.5%,8.2%,8.2%,7.9%,7.9%,7.7%,7.8%,8.1%,8.3%,8.5%,9.0%,9.2%,9.6%,9.7%,9.7%,9.2%,9.2%,9.8%,9.3%,9.6%,10.1%,9.7%,10.3%,10.4%,15.3%,15.1%,14.8%,14.9%,15.5%,14.9%,14.9%,15.6%,15.9%,16.0%,16.0%,15.6%,15.1%,15.2%,14.9%,14.6%,14.1%,13.8%,13.7%,13.8%,13.8%,13.7%,13.5%,13.7%,13.5%,13.3%,13.1%,,,,,,,,,,,,,,,,,,
scientific / qa,3.9%,4.2%,3.9%,4.0%,3.8%,4.1%,3.9%,3.7%,4.4%,3.7%,3.5%,3.6%,3.8%,3.9%,4.1%,3.9%,4.1%,4.3%,4.9%,4.7%,4.8%,4.9%,4.6%,4.4%,5.2%,5.2%,5.1%,5.2%,5.2%,5.3%,5.4%,5.3%,5.4%,5.6%,5.7%,5.9%,5.8%,5.8%,5.9%,5.9%,5.8%,5.9%,5.9%,5.7%,5.9%,6.0%,6.1%,5.4%,5.6%,5.4%,5.9%,6.5%,6.5%,6.8%,7.1%,6.4%,6.2%,7.3%,7.7%,7.6%,7.1%,6.6%,6.8%,6.8%,7.5%,7.6%,8.3%,8.2%,8.5%,7.5%,8.2%,8.2%,8.6%,8.3%,8.3%,8.4%,9.0%,8.6%,8.4%,8.3%,8.0%,8.3%,8.0%,8.5%,8.5%,8.6%,8.4%,8.1%,8.7%,9.3%,9.0%,9.3%,10.0%,9.8%,9.9%,10.0%,9.5%,10.0%,10.2%,10.1%,9.8%,9.9%,9.3%,9.0%,9.2%,9.4%,8.8%,,,,,,,,,,,,,,,,,,
transport / logistics / warehouse,0.5%,0.5%,0.4%,0.4%,0.4%,0.3%,0.3%,0.3%,0.3%,0.3%,0.3%,0.3%,0.3%,0.2%,0.2%,0.2%,0.2%,0.3%,0.3%,0.3%,0.2%,0.2%,0.1%,0.2%,0.2%,0.2%,0.1%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.3%,0.4%,0.4%,0.4%,0.3%,0.3%,0.3%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.3%,0.3%,0.2%,0.3%,0.5%,0.4%,0.3%,0.3%,0.4%,0.4%,0.4%,0.4%,0.4%,0.4%,0.3%,0.2%,0.3%,0.4%,0.3%,0.3%,0.3%,0.3%,0.3%,0.3%,0.3%,0.4%,0.4%,0.4%,0.4%,0.5%,0.4%,0.5%,0.5%,0.4%,0.5%,0.5%,0.4%,0.5%,0.5%,0.9%,0.5%,0.7%,0.8%,0.7%,0.8%,0.9%,0.9%,1.0%,1.0%,0.9%,0.8%,0.8%,0.8%,0.7%,0.7%,0.7%,0.7%,0.7%,0.7%,,,,,,,,,,,,,,,,,,
travel / tourism,5.3%,5.3%,6.1%,5.6%,5.3%,5.2%,5.3%,5.1%,5.2%,4.3%,4.3%,5.6%,5.4%,5.0%,5.6%,5.6%,5.9%,6.0%,3.0%,2.7%,2.0%,1.4%,1.4%,1.6%,1.4%,1.8%,1.9%,2.0%,2.1%,2.3%,2.4%,2.5%,2.5%,2.5%,2.6%,2.3%,2.5%,2.7%,2.9%,3.0%,3.4%,2.3%,2.1%,1.9%,2.2%,2.0%,1.9%,1.9%,3.0%,4.1%,4.3%,4.5%,3.3%,4.1%,1.0%,2.1%,2.2%,2.4%,1.1%,0.5%,0.4%,0.3%,0.4%,0.3%,0.5%,0.3%,0.7%,0.7%,0.8%,0.9%,0.8%,1.5%,1.3%,0.9%,1.0%,1.0%,0.8%,0.8%,0.7%,0.6%,0.7%,0.7%,0.9%,1.0%,1.0%,1.2%,1.2%,1.6%,0.9%,1.0%,1.3%,1.4%,1.6%,1.5%,1.3%,1.1%,1.3%,1.6%,2.3%,1.8%,1.7%,1.2%,1.3%,1.3%,1.2%,1.2%,1.3%,,,,,,,,,,,,,,,,,,
unknown,2.2%,2.4%,2.4%,2.3%,2.2%,2.2%,2.3%,2.3%,2.3%,2.1%,2.1%,2.1%,2.1%,1.9%,1.8%,1.8%,1.7%,1.8%,2.1%,2.2%,2.3%,2.5%,2.7%,2.7%,2.8%,2.6%,2.8%,2.8%,2.8%,2.8%,2.8%,2.5%,2.3%,2.1%,2.0%,2.6%,2.4%,2.1%,2.0%,2.2%,3.2%,2.4%,2.2%,2.4%,2.5%,2.1%,2.2%,2.3%,2.7%,2.5%,3.5%,3.4%,4.3%,4.0%,5.1%,4.2%,4.3%,4.5%,4.6%,4.8%,4.7%,4.8%,4.0%,5.6%,4.2%,4.7%,5.4%,5.1%,4.2%,4.9%,5.3%,5.4%,5.4%,6.2%,3.5%,5.8%,6.3%,5.5%,6.8%,6.1%,7.9%,7.2%,8.5%,9.4%,9.1%,6.5%,7.7%,7.5%,8.8%,8.5%,7.8%,6.6%,7.0%,7.0%,6.5%,5.9%,5.9%,5.8%,4.9%,4.6%,4.7%,3.8%,3.9%,4.5%,4.1%,3.7%,3.7%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. The observations were collected on a roughly weekly basis; however they were not all collected at the same point in each week, leading to slightly irregular gaps between each observations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. These series have a small number of missing weeks in the data, the latest of which is in February 2021. Values for missing weeks have been imputed using linear interpolation. The data points that have been imputed are clearly marked in the accompanying dataset.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. February 2020 average job adverts were calculated using an arithmetic mean of the four recorded observations that month.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Data have not been seasonally adjusted. Job adverts observed in February 2020 are generally representative of their level throughout the year.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5. Some job adverts may have seasonal peaks and troughs for job adverts, such as those seen in Summer 2019 for the facilities and management, and transport and logistics categories. Caution should be taken not to solely attribute changes in the volume of job adverts to impacts of the coronavirus (COVID-19) pandemic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6. From 6 June 2019, there is a level shift in the volume of online job adverts mentioning terms related to homeworking in the education / teaching category.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7. From 29 May 2020, the volume of online job adverts in the customer service / support category may be inflated due to increased levels of duplication. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8. From 17 September 2020, the volume of online job adverts in the part-time / weekend category may be inflated due to increased levels of duplication.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Job adverts data for 19 February 2021 were unavailable so have been imputed through linear interpolation. Data for 26 February 2021 are unaffected by this.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Job adverts data for 30 April 2021 were unavailable so have been imputed through linear interpolation. Data for 7 May 2021 are unaffected by this.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11. ""…"" denotes disclosive values",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
